dataset,model,k_reveal,eval_seed,recall,ndcg,mrr,hr,precision,intra_diversity,auc,novelty,avg_risk,head_recall,tail_recall,coverage,coverage_relative,gini,personalisation,n_users
MovieLens-1M,Popularity-Safe,1,0,0.1088,0.528,0.7603,0.99,0.509,0.4293,0.8768,8.1132,0.2369,0.1349,0.0,0.0116,0.045,0.5124,0.7224,100
MovieLens-1M,Popularity-Safe,5,0,0.1079,0.5091,0.7366,0.98,0.489,0.4309,0.8755,8.1356,0.2445,0.1334,0.0,0.0118,0.046,0.4801,0.7554,100
MovieLens-1M,ItemKNN,1,0,0.0604,0.317,0.501,0.76,0.307,0.3937,0.7383,10.3697,0.3346,0.0728,0.0036,0.1138,0.442,0.5181,0.9158,100
MovieLens-1M,ItemKNN,5,0,0.0288,0.1841,0.3298,0.65,0.178,0.3544,0.6364,12.0531,0.4182,0.0324,0.0081,0.1599,0.621,0.3011,0.9905,100
MovieLens-20M,Popularity-Safe,1,0,0.1757,0.6595,0.8167,0.98,0.64,0.428,0.9586,8.2683,0.2405,0.1773,0.0,0.0045,0.124,0.6524,0.8229,100
MovieLens-20M,Popularity-Safe,5,0,0.186,0.6515,0.8096,0.98,0.63,0.4295,0.959,8.3169,0.2372,0.1877,0.0,0.0051,0.14,0.6526,0.8384,100
MovieLens-20M,ItemKNN,1,0,0.1009,0.4092,0.5735,0.87,0.399,0.3997,0.8135,12.1239,0.3206,0.102,0.0,0.0199,0.542,0.4268,0.9592,100
MovieLens-20M,ItemKNN,5,0,0.077,0.2936,0.4869,0.82,0.28,0.3613,0.7453,14.1656,0.3739,0.0776,0.0152,0.0275,0.749,0.2235,0.9947,100
MovieLens-25M,Popularity-Safe,1,0,0.2072,0.7237,0.8473,0.99,0.71,0.424,0.9677,8.4087,0.2469,0.2076,0.0,0.0025,0.153,0.6792,0.8306,100
MovieLens-25M,Popularity-Safe,5,0,0.221,0.7109,0.8381,0.99,0.695,0.4282,0.9678,8.4995,0.2443,0.2213,0.0,0.0028,0.172,0.6585,0.8604,100
MovieLens-25M,ItemKNN,1,0,0.1041,0.4128,0.5631,0.86,0.407,0.3915,0.8215,12.9418,0.306,0.1044,0.0333,0.0092,0.573,0.3946,0.9708,100
MovieLens-25M,ItemKNN,5,0,0.0975,0.3466,0.5199,0.89,0.341,0.3689,0.7935,13.9241,0.3358,0.0978,0.0,0.0108,0.676,0.2883,0.9924,100
SemanticScholar-bigger,Popularity-Safe,1,0,0.0614,0.0584,0.0704,0.18,0.04,0.3488,0.6447,15.5847,0.467,0.1456,0.0,0.0045,0.791,0.1699,0.9968,100
SemanticScholar-bigger,Popularity-Safe,5,0,0.0632,0.0572,0.0673,0.1613,0.0366,0.3488,0.6406,15.583,0.4673,0.1564,0.0,0.0043,0.8,0.1629,0.9976,93
SemanticScholar-bigger,ItemKNN,1,0,0.2589,0.2573,0.3784,0.61,0.115,0.267,0.8314,17.5126,0.4796,0.3111,0.2047,0.0057,0.993,0.007,0.9999,100
SemanticScholar-bigger,ItemKNN,5,0,0.3263,0.3088,0.4082,0.6344,0.1258,0.2561,0.845,17.5014,0.4956,0.2952,0.3123,0.0053,0.9903,0.0096,0.9999,93
SemanticScholar-small,Popularity-Safe,1,0,0.0233,0.0104,0.0082,0.05,0.006,0.3325,0.7618,10.5734,0.438,0.0452,0.0,0.02,0.113,0.4434,0.9212,100
SemanticScholar-small,Popularity-Safe,5,0,0.0346,0.0119,0.0059,0.0426,0.0043,0.3321,0.7659,10.5756,0.4357,0.0813,0.0,0.0198,0.1191,0.4348,0.9218,94
SemanticScholar-small,ItemKNN,1,0,0.1393,0.1169,0.1777,0.33,0.043,0.2521,0.7366,12.5757,0.5108,0.1119,0.1453,0.1459,0.824,0.1514,0.9975,100
SemanticScholar-small,ItemKNN,5,0,0.219,0.1532,0.1877,0.3723,0.05,0.2401,0.7974,12.5292,0.5065,0.1951,0.2102,0.1314,0.7894,0.1797,0.9968,94
